,CADASTRO DE SERVIÇOS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,408M,"Terapia ocupacional, fisioterapia e fonoaudiologia.",22,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,art 118,,,,"Sim, se sessão de mao de obra - Art 118 - XXI",,
,409M,"Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental.",23,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,art 118,,,,"Sim, se sessão de mao de obra - Art 118 - XXI",,
,410M,Nutrição.,24,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,411M,Obstetrícia.,25,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,art 118,,,,"Sim, se sessão de mao de obra - Art 118 - XXI",,
,412M,Odontologia.,26,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,art 118,,,,"Sim, se sessão de mao de obra - Art 118 - XXI",,
,413M,Ortóptica.,27,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,art 118,,,,"Sim, se sessão de mao de obra - Art 118 - XXI",,
,414M,Próteses sob encomenda.,28,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,415M,Psicanálise.,29,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,art 118,,,,"Sim, se sessão de mao de obra - Art 118 - XXI",,
,416M,Psicologia.,30,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,art 118,,,,"Sim, se sessão de mao de obra - Art 118 - XXI",,
,417M,"Casas de repouso e de recuperação, creches, asilos e congêneres.",31,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,,,,,,,
,418M,"Inseminação artificial, fertilização in vitro e congêneres.",32,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,419M,"Bancos de sangue, leite, pele, olhos, óvulos, sêmen e congêneres.",33,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,,,,,,,
,420M,"Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie.",34,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,,,,,,,
,421M,"Unidade de atendimento, assistência ou tratamento móvel e congêneres.",35,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,art 118,,,,"Sim, se sessão de mao de obra - Art 118 - XXI",,
