,CADASTRO DE SERVIÇOS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,SN,,,,N,,,,MEI,,,,,,,
,CÓDIGO DO SERVIÇO,DESCRIÇÃO DO SERVIÇO,ISSQN,INSS,CS,IRRF,ISSQN,INSS,CS,IRRF,ISSQN,INSS,CS,IRRF,,,,
,305M-cessão m obra,"Cessão de andaimes, palcos, coberturas e outras estruturas de uso temporário.","1,00%",NT,NT,NT,"5,00%",art 118,NT,NT,NT,NT,NT,NT,,"Sim, se o houver montagem, que envolvam a reunião sistemática, conforme disposição predeterminada em processo industrial ou artesanal, das peças de um dispositivo, de um mecanismo ou de qualquer objeto, de modo que possa funcionar ou atingir o fim a que se destina.-118-XV",,
,401M,Medicina e biomedicina.,"1,00%",NT,NT,NT,"5,00%",art 118,"4,65%","1,50%",NT,NT,NT,NT,,"Sim, se sessão de mao de obra - Art 118 - XXI",,
,402M,"Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultrasonografia, ressonância magnética, radiologia, tomografia e congêneres.","1,00%",NT,NT,NT,"5,00%",art 118,"4,65%","1,50%",NT,NT,NT,NT,,"Sim, se sessão de mao de obra - Art 118 - XXI",,
,403M,"Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontossocorros, ambulatórios e congêneres.","1,00%",NT,NT,NT,"5,00%",art 118,NT,NT,NT,NT,NT,NT,,"Sim, se sessão de mao de obra - Art 118 - XXI",,
,404M,Instrumentação cirúrgica.,"1,00%",NT,NT,NT,"5,00%",NT,"4,65%","1,50%",NT,NT,NT,NT,,,,
,405M,Acupuntura.,"1,00%",NT,NT,NT,"5,00%",art 118,"4,65%","1,50%",NT,NT,NT,NT,,"Sim, se sessão de mao de obra - Art 118 - XXI",,
,406M,"Enfermagem, inclusive serviços auxiliares.","1,00%",NT,NT,NT,"5,00%",art 118,"4,65%","1,50%",NT,NT,NT,NT,,"Sim, se sessão de mao de obra - Art 118 - XXI",,
,407M,Serviços farmacêuticos.,"1,00%",NT,NT,NT,"5,00%",NT,"4,65%","1,50%",NT,NT,NT,NT,,,,
,408M,"Terapia ocupacional, fisioterapia e fonoaudiologia.","1,00%",NT,NT,NT,"5,00%",art 118,"4,65%","1,50%",NT,NT,NT,NT,,"Sim, se sessão de mao de obra - Art 118 - XXI",,
,409M,"Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental.","1,00%",NT,NT,NT,"5,00%",art 118,"4,65%","1,50%",NT,NT,NT,NT,,"Sim, se sessão de mao de obra - Art 118 - XXI",,
,410M,Nutrição.,"1,00%",NT,NT,NT,"5,00%",NT,"4,65%","1,50%",NT,NT,NT,NT,,,,
,411M,Obstetrícia.,"1,00%",NT,NT,NT,"5,00%",art 118,"4,65%","1,50%",NT,NT,NT,NT,,"Sim, se sessão de mao de obra - Art 118 - XXI",,
,412M,Odontologia.,"1,00%",NT,NT,NT,"5,00%",art 118,"4,65%","1,50%",NT,NT,NT,NT,,"Sim, se sessão de mao de obra - Art 118 - XXI",,
